Períodos;IPCA (12 meses); IPCA alimentação e bebidas (12 meses);IGP-DI (12 meses);IGP-M
2015;10.67;12.03;10.20;10.54
2016;6.29;8.62;6.95;7.19
2017;2.95;-1.87;-0.4;-0.53
2018;3.75;4.04;6.92;7.55
2019;4.31;6.37;7.44;7.32
2020 -Jan;4.19;5.74;7.70;7.82
2020 -Fev;4.01;5.07;6.38;6.84
2020 - Mar;3.30;4.83;6.98;6.82
2020 - Abr;2.40;5.99;6.08;6.69
2020 - Mai;1.88;6.79;6.81;6.22
2020 - Jun;2.13;7.42;7.84;7.31
2020 - Jul;2.31;7.47;10.37;9.27
2020 - Ago;2.44;8.63;15.21;13.02
2020 - Set;3.14;11.45;18.42;17.94
2020 - Out;3.92;13.47;22.12;20.93
