Indicadores;Estabelecimentos;Area Total
Total;   58 493 ;  2 059 462 
Agricultura não familiar;   14 993 ;  1 584 740 
Agricultura familiar-LEI-11326 -2017;   43 500 ;   474 721 
Não pronafiano;   15 450 ;  1 591 126 
PRONAF B;   31 462 ;   290 880 
PRONAF V;   11 581 ;   177 456 
Agricultura não familiar 2006;   14 372 ;  1 590 665 
Agricultura familiar (Lei 11326) 2006;   44 121 ;   468 797 
Não pronafiano 2006;   19 299 ;  1 682 608 
PRONAF A 2006;   3 097 ;   24 401 
PRONAF B 2006;   22 274 ;   173 089 
PRONAF C 2006;   10 409 ;   127 210 
PRONAF D 2006;   2 739 ;   42 370 
PRONAF E 2006;675;   9 783 
